"char_ID","char_name","char_female"
1,"Anton Vanko",0
2,"Ivan Vanko",0
3,"Tony Stark",0
4,"Happy Hogan",0
5,"Senator Stern",0
6,"Justin Hammer",0
7,"James Rhodes",0
8,"JARVIS",0
9,"Pepper Potts",1
10,"Natasha Romanoff",1
11,"Elon Musk",0
12,"Christine Everhart",1
13,"Major Allen",0
14,"Nick Fury",0
15,"Jack",0
16,"General Meade",0
17,"Phil Coulson",0
18,"Howard Stark",0
19,"Bambi Arbogast",1
