eventID,sceneID,speakerID,Parker (1),Brett (2),Kane (3),Dallas (4),Ash (5),Ripley (6),Lambert (7)
158,10,5,0,0,1,0,0,0,0
159,10,4,0,0,0,0,1,0,0
160,10,5,0,0,0,1,0,0,0
161,10,5,0,0,0,1,0,0,0
162,11,3,0,0,0,1,0,0,1
163,11,3,0,0,0,1,0,0,1
164,11,4,0,0,1,0,0,0,1
165,11,4,0,0,0,0,0,0,1
166,11,7,0,0,0,1,0,0,0
167,11,7,0,0,0,1,0,0,0
168,11,3,0,0,0,1,0,0,1
169,11,3,0,0,0,1,0,0,1
170,11,4,0,0,1,0,0,0,0
171,11,3,0,0,0,1,0,0,0
172,12,6,0,0,0,0,1,0,0
173,12,5,0,0,0,0,0,1,0
174,12,6,0,0,0,0,1,0,0
175,12,5,0,0,0,0,0,1,0
176,12,5,0,0,0,0,0,1,0
177,13,4,0,0,1,0,0,0,0
178,13,4,0,0,1,0,0,0,0
179,13,3,0,0,0,1,0,0,0
180,13,3,0,0,0,1,0,0,0
181,13,3,0,0,0,1,0,0,1
182,13,3,0,0,0,1,0,0,1
183,13,4,0,0,1,0,0,0,0
184,13,3,0,0,0,1,0,0,0
185,13,3,0,0,0,1,0,0,1
186,13,3,0,0,0,1,0,0,1
187,13,3,0,0,0,1,0,0,1
188,13,3,0,0,0,1,0,0,1
189,14,5,0,0,0,0,0,1,0
190,14,6,0,0,0,0,1,0,0
191,14,5,0,0,0,0,0,1,0
192,14,6,0,0,0,0,1,0,0
193,14,5,0,0,0,0,0,1,0
194,14,6,0,0,0,0,1,0,0
195,14,6,0,0,0,1,0,0,1
196,14,4,0,0,0,0,0,1,0
197,14,6,0,0,0,1,0,0,0
198,14,4,0,0,0,0,0,1,0
199,14,6,0,0,0,1,0,0,0
200,14,4,0,0,0,0,0,1,0
201,14,6,0,0,0,1,0,0,0
202,14,7,0,0,0,0,0,1,0
203,14,6,0,0,0,0,0,0,1
204,14,4,0,0,0,0,0,1,0
205,14,6,0,0,0,1,0,0,0
206,14,4,0,0,0,0,0,1,0
207,14,6,0,0,0,1,0,0,0
208,14,5,0,0,0,0,0,1,0
209,15,4,0,0,0,0,1,0,0
210,15,4,0,0,0,0,1,0,0
