eventID,sceneID,speakerID,Bruce Banner (1),Kathleen Sparr (2),General Ross (3),Joe Greller (4),Emil Blonsky (5),Martina (6),Stanley (7),Betty Ross (8),Leonard Samson (9),Samuel Sterns (10),Tony Stark (11)
111,19,3,0,0,0,0,1,0,0,0,0,0,0
112,19,5,1,0,0,0,0,0,0,0,0,0,0
113,19,3,0,0,0,0,1,0,0,0,0,0,0
114,19,8,0,0,1,0,0,0,0,0,0,0,0
115,19,5,1,0,0,0,0,0,0,0,0,0,0
116,19,3,0,0,0,0,1,0,0,0,0,0,0
117,19,5,1,0,0,0,0,0,0,0,0,0,0
118,19,9,0,0,0,0,0,0,0,1,0,0,0
119,20,3,0,0,0,0,0,0,0,0,1,0,0
120,20,9,0,0,1,0,0,0,0,0,0,0,0
121,20,3,0,0,0,0,0,0,0,0,1,0,0
122,20,9,0,0,1,0,0,0,0,0,0,0,0
123,20,3,0,0,0,0,0,0,0,0,1,0,0
124,20,9,0,0,1,0,0,0,0,0,0,0,0
125,21,8,1,0,0,0,0,0,0,0,0,0,0
126,21,8,1,0,0,0,0,0,0,0,0,0,0
127,21,8,1,0,0,0,0,0,0,0,0,0,0
128,21,8,1,0,0,0,0,0,0,0,0,0,0
129,21,8,1,0,0,0,0,0,0,0,0,0,0
130,22,8,1,0,0,0,0,0,0,0,0,0,0
131,23,8,1,0,0,0,0,0,0,0,0,0,0
132,23,1,0,0,0,0,0,0,0,1,0,0,0
133,23,8,1,0,0,0,0,0,0,0,0,0,0
134,23,1,0,0,0,0,0,0,0,1,0,0,0
135,23,8,1,0,0,0,0,0,0,0,0,0,0
136,23,1,0,0,0,0,0,0,0,1,0,0,0
137,23,8,1,0,0,0,0,0,0,0,0,0,0
138,23,8,1,0,0,0,0,0,0,0,0,0,0
139,23,1,0,0,0,0,0,0,0,1,0,0,0
140,23,8,1,0,0,0,0,0,0,0,0,0,0
141,23,1,0,0,0,0,0,0,0,1,0,0,0
142,24,1,0,0,0,0,0,0,0,1,0,0,0
143,24,8,1,0,0,0,0,0,0,0,0,0,0
144,24,8,1,0,0,0,0,0,0,0,0,0,0
145,24,1,0,0,0,0,0,0,0,1,0,0,0
146,24,1,0,0,0,0,0,0,0,1,0,0,0
147,24,8,1,0,0,0,0,0,0,0,0,0,0
148,24,1,0,0,0,0,0,0,0,1,0,0,0
149,24,8,1,0,0,0,0,0,0,0,0,0,0
150,24,1,0,0,0,0,0,0,0,1,0,0,0
151,24,1,0,0,0,0,0,0,0,1,0,0,0
152,24,8,1,0,0,0,0,0,0,0,0,0,0
153,24,8,1,0,0,0,0,0,0,0,0,0,0
154,25,2,0,0,1,0,0,0,0,0,0,0,0
155,25,3,0,1,0,0,0,0,0,0,0,0,0
156,25,2,0,0,1,0,0,0,0,0,0,0,0
157,25,5,0,0,1,0,0,0,0,0,0,0,0
158,25,3,0,0,0,0,1,0,0,0,0,0,0
159,25,5,0,0,1,0,0,0,0,0,0,0,0
160,25,3,0,0,0,0,1,0,0,0,0,0,0
161,25,5,0,0,1,0,0,0,0,0,0,0,0
162,26,1,0,0,0,0,0,0,0,1,0,0,0
163,26,8,1,0,0,0,0,0,0,0,0,0,0
164,26,1,0,0,0,0,0,0,0,1,0,0,0
165,26,8,1,0,0,0,0,0,0,0,0,0,0
166,26,1,0,0,0,0,0,0,0,1,0,0,0
167,26,8,1,0,0,0,0,0,0,0,0,0,0
168,26,1,0,0,0,0,0,0,0,1,0,0,0
169,26,8,1,0,0,0,0,0,0,0,0,0,0
170,26,8,1,0,0,0,0,0,0,0,0,0,0
171,26,1,0,0,0,0,0,0,0,1,0,0,0
172,26,8,1,0,0,0,0,0,0,0,0,0,0
173,27,2,0,0,1,0,0,0,0,0,0,0,0
174,27,3,0,1,0,0,0,0,0,0,0,0,0
175,28,8,1,0,0,0,0,0,0,0,0,0,0
176,29,8,1,0,0,0,0,0,0,0,0,0,0
177,29,1,0,0,0,0,0,0,0,1,0,0,0
178,29,8,1,0,0,0,0,0,0,0,0,0,0
179,29,1,0,0,0,0,0,0,0,1,0,0,0
180,29,8,1,0,0,0,0,0,0,0,0,0,0
181,29,1,0,0,0,0,0,0,0,1,0,0,0
182,29,8,1,0,0,0,0,0,0,0,0,0,0
183,29,1,0,0,0,0,0,0,0,1,0,0,0
184,30,3,0,0,0,0,1,0,0,0,0,0,0
185,30,5,0,0,1,0,0,0,0,0,0,0,0
186,31,8,1,0,0,0,0,0,0,0,0,0,0
187,31,1,0,0,0,0,0,0,0,1,0,0,0
188,32,8,1,0,0,0,0,0,0,0,0,0,0
189,32,1,0,0,0,0,0,0,0,1,0,0,0
190,32,8,1,0,0,0,0,0,0,0,0,0,0
191,33,1,0,0,0,0,0,0,0,1,0,0,0
192,33,8,1,0,0,0,0,0,0,0,0,0,0
193,34,8,0,0,0,0,0,0,0,0,0,1,0
194,34,10,0,0,0,0,0,0,0,1,0,0,0
195,34,8,0,0,0,0,0,0,0,0,0,1,0
196,34,10,0,0,0,0,0,0,0,1,0,0,0
197,34,8,0,0,0,0,0,0,0,0,0,1,0
198,34,10,0,0,0,0,0,0,0,1,0,0,0
199,34,1,0,0,0,0,0,0,0,0,0,1,0
200,34,10,1,0,0,0,0,0,0,0,0,0,0
201,35,10,1,0,0,0,0,0,0,0,0,0,0
202,35,8,0,0,0,0,0,0,0,0,0,1,0
203,35,10,0,0,0,0,0,0,0,1,0,0,0
204,35,1,0,0,0,0,0,0,0,0,0,1,0
205,35,10,1,0,0,0,0,0,0,0,0,0,0
206,36,10,1,0,0,0,0,0,0,0,0,0,0
207,36,10,1,0,0,0,0,0,0,0,0,0,0
208,36,1,0,0,0,0,0,0,0,0,0,1,0
209,36,10,1,0,0,0,0,0,0,0,0,0,0
210,36,10,1,0,0,0,0,0,0,0,0,0,0
211,36,8,1,0,0,0,0,0,0,0,0,0,0
212,36,10,1,0,0,0,0,0,0,0,0,0,0
213,36,10,0,0,0,0,0,0,0,1,0,0,0
214,36,10,1,0,0,0,0,0,0,0,0,0,0
215,36,10,0,0,0,0,0,0,0,1,0,0,0
216,36,8,0,0,0,0,0,0,0,0,0,1,0
217,36,8,0,0,0,0,0,0,0,0,0,1,0
218,36,8,1,0,0,0,0,0,0,0,0,0,0
219,36,8,0,0,0,0,0,0,0,0,0,1,0
220,36,8,1,0,0,0,0,0,0,0,0,0,0
221,36,8,1,0,0,0,0,0,0,0,0,0,0
222,36,8,1,0,0,0,0,0,0,0,0,0,0
223,36,8,1,0,0,0,0,0,0,0,0,0,0
224,36,8,1,0,0,0,0,0,0,0,0,0,0
