eventID,sceneID,speakerID,Bryce (1),Lara Croft (2),Hillary (3),Mr. Pimms (4),Manfred Powell (5),Lord Richard Croft (6),Wilson (7),Alex West (8),Julius (9)
130,15,1,0,1,0,0,0,0,0,0,0
131,15,2,1,0,0,0,0,0,0,0,0
132,16,3,0,1,0,0,0,0,0,0,0
133,16,2,0,0,1,0,0,0,0,0,0
134,16,3,0,1,0,0,0,0,0,0,0
135,16,2,0,0,1,0,0,0,0,0,0
136,16,1,0,1,0,0,0,0,0,0,0
137,16,1,0,1,0,0,0,0,0,0,0
138,16,2,1,0,0,0,0,0,0,0,0
139,16,1,0,1,0,0,0,0,0,0,0
140,16,2,1,0,0,0,0,0,0,0,0
141,16,1,0,1,0,0,0,0,0,0,0
142,16,2,1,0,0,0,0,0,0,0,0
143,16,1,0,1,0,0,0,0,0,0,0
144,16,2,1,0,0,0,0,0,0,0,0
145,16,2,1,0,0,0,0,0,0,0,0
146,16,1,0,1,0,0,0,0,0,0,0
147,16,1,0,1,0,0,0,0,0,0,0
148,16,2,1,0,0,0,0,0,0,0,0
149,16,1,0,1,0,0,0,0,0,0,0
150,16,3,0,1,0,0,0,0,0,0,0
151,16,2,0,0,1,0,0,0,0,0,0
152,16,2,0,0,1,0,0,0,0,0,0
153,16,3,0,1,0,0,0,0,0,0,0
154,17,1,0,1,0,0,0,0,0,0,0
155,17,2,1,0,0,0,0,0,0,0,0
156,17,1,0,1,0,0,0,0,0,0,0
157,17,3,1,0,0,0,0,0,0,0,0
158,17,1,0,0,1,0,0,0,0,0,0
159,17,3,0,1,0,0,0,0,0,0,0
160,17,2,0,0,1,0,0,0,0,0,0
161,17,2,1,0,1,0,0,0,0,0,0
162,17,1,0,1,0,0,0,0,0,0,0
163,17,3,0,1,0,0,0,0,0,0,0
164,18,6,0,1,0,0,0,0,0,0,0
165,19,1,0,1,0,0,0,0,0,0,0
166,19,2,1,0,0,0,0,0,0,0,0
167,19,3,0,1,0,0,0,0,0,0,0
168,19,2,0,0,1,0,0,0,0,0,0
169,20,3,0,1,0,0,0,0,0,0,0
170,20,2,1,0,1,0,0,0,0,0,0
171,21,5,0,0,0,0,0,0,0,1,0
172,22,4,0,0,0,0,1,0,0,1,0
173,22,5,0,0,0,1,0,0,0,0,0
174,22,8,0,0,0,1,1,0,0,0,0
175,22,5,0,0,0,0,0,0,0,1,0
176,22,8,0,0,0,0,1,0,0,0,0
177,23,8,0,0,0,1,1,0,0,0,0
178,23,5,0,0,0,1,0,0,0,1,0
179,23,4,0,0,0,0,0,0,0,1,0
180,23,5,0,0,0,0,0,0,0,1,0
181,23,5,0,0,0,0,0,0,0,1,0
182,23,8,0,0,0,1,1,0,0,0,0
183,23,5,0,0,0,0,0,0,0,1,0
184,23,5,0,0,0,0,0,0,0,1,0
185,23,8,0,0,0,0,1,0,0,0,0
186,23,2,0,0,0,0,1,0,0,0,0
187,23,5,0,0,0,0,0,0,0,1,0
188,23,2,0,0,0,0,1,0,0,0,0
189,23,2,0,0,0,0,0,0,0,1,0
190,23,8,0,1,0,0,0,0,0,0,0
191,23,2,0,0,0,0,0,0,0,1,0
192,23,8,0,1,0,0,0,0,0,0,0
193,23,5,0,1,0,0,0,0,0,0,0
194,23,2,0,0,0,0,1,0,0,0,0
195,23,5,0,1,0,0,0,0,0,0,0
196,23,2,0,0,0,0,1,0,0,0,0
197,23,5,0,1,0,0,0,0,0,0,0
198,23,2,0,0,0,0,1,0,0,0,0
199,23,5,0,1,0,0,0,0,0,0,0
200,23,5,0,0,0,0,0,0,0,0,1
201,23,9,0,0,0,0,1,0,0,0,0
202,23,2,0,0,0,0,1,0,0,0,0
203,23,8,0,0,0,0,1,0,0,0,0
204,23,5,0,1,0,0,0,0,0,0,0
205,23,5,0,0,0,0,0,0,0,1,0
206,23,8,0,1,0,0,0,0,0,0,0
207,23,8,0,1,0,0,0,0,0,0,0
208,23,2,0,0,0,0,0,0,0,1,0
209,24,5,0,1,0,0,0,0,0,0,0
210,24,2,0,0,0,0,1,0,0,0,0
211,24,5,0,1,0,0,0,0,0,0,0
212,24,2,0,0,0,0,1,0,0,0,0
213,24,5,0,1,0,0,0,0,0,0,0
214,24,2,0,0,0,0,1,0,0,0,0
215,24,5,0,1,0,0,0,0,0,0,0
216,24,2,0,0,0,0,1,0,0,0,0
217,24,5,0,1,0,0,0,0,0,0,0
218,24,2,0,0,0,0,1,0,0,0,0
219,25,2,1,0,0,0,0,0,0,0,0
220,25,1,0,1,0,0,0,0,0,0,0
221,25,2,1,0,0,0,0,0,0,0,0
222,25,1,0,1,0,0,0,0,0,0,0
223,25,2,1,0,0,0,0,0,0,0,0
224,25,1,0,1,0,0,0,0,0,0,0
225,25,2,1,0,0,0,0,0,0,0,0
226,25,1,0,1,0,0,0,0,0,0,0
227,25,2,1,0,0,0,0,0,0,0,0
228,25,1,0,1,0,0,0,0,0,0,0
229,25,2,1,0,0,0,0,0,0,0,0
230,25,1,0,1,0,0,0,0,0,0,0
231,25,2,1,0,0,0,0,0,0,0,0
232,25,1,0,1,0,0,0,0,0,0,0
233,26,5,0,1,0,0,0,0,0,0,0
234,26,2,0,0,0,0,1,0,0,0,0
235,26,5,0,1,0,0,0,0,0,0,0
236,26,2,0,0,0,0,1,0,0,0,0
237,26,5,0,1,0,0,0,0,0,0,0
238,26,5,0,1,0,0,0,0,0,0,0
239,26,5,0,1,0,0,0,0,0,0,0
240,26,2,0,0,0,0,1,0,0,0,0
241,26,5,0,1,0,0,0,0,0,0,0
242,26,2,0,0,0,0,1,0,0,0,0
243,26,5,0,1,0,0,0,0,0,0,0
244,26,2,0,0,0,0,1,0,0,0,0
245,26,5,0,1,0,0,0,0,0,0,0
246,26,5,0,1,0,0,0,0,0,0,0
247,26,2,0,0,0,0,1,0,0,0,0
248,26,5,0,1,0,0,0,0,0,0,0
249,26,2,0,0,0,0,1,0,0,0,0
250,26,5,0,1,0,0,0,0,0,0,0
251,26,2,0,0,0,0,1,0,0,0,0
252,26,5,0,1,0,0,0,0,0,0,0
253,26,5,0,1,0,0,0,0,0,0,0
254,26,2,0,0,0,0,1,0,0,0,0
255,26,5,0,1,0,0,0,0,0,0,0
256,26,2,0,0,0,0,1,0,0,0,0
257,26,5,0,1,0,0,0,0,0,0,0
258,27,2,0,0,0,0,0,0,0,1,0
259,27,8,0,1,0,0,0,0,0,0,0
260,27,2,0,0,0,0,0,0,0,1,0
261,27,8,0,1,0,0,0,0,0,0,0
262,27,2,0,0,0,0,0,0,0,1,0
263,27,2,0,0,0,0,0,0,0,1,0
264,28,4,0,0,0,0,1,0,0,0,0
265,28,5,0,0,0,1,0,0,0,0,0
266,28,4,0,0,0,0,1,0,0,0,0
267,28,5,0,0,0,1,0,0,0,0,0
268,28,4,0,0,0,0,1,0,0,0,0
269,28,5,0,0,0,1,0,0,0,0,0
270,28,4,0,0,0,0,1,0,0,0,0
271,28,5,0,0,0,1,0,0,0,0,0
272,28,5,0,1,0,0,0,0,0,0,0
273,28,5,0,1,0,0,0,0,0,0,0
274,28,4,0,1,0,0,0,0,0,0,0
275,28,1,0,1,0,0,0,0,0,0,0
276,28,2,1,0,0,0,0,0,0,0,0
277,29,1,0,1,0,0,0,0,0,0,0
278,29,2,1,0,0,0,0,0,0,0,0
279,30,2,1,0,0,0,0,0,0,0,0
280,30,1,0,1,0,0,0,0,0,0,0
281,31,2,1,0,0,1,1,0,0,1,0
282,31,2,0,0,0,0,0,0,0,1,0
283,31,8,0,1,0,0,0,0,0,0,0
284,31,8,0,0,0,0,1,0,0,0,0
285,31,5,0,1,0,0,0,0,0,0,0
286,31,5,0,1,0,0,0,0,0,0,0
287,31,5,0,1,0,0,0,0,0,0,0
288,31,5,0,1,0,0,0,0,0,0,0
289,31,2,0,0,0,0,1,0,0,0,0
290,31,2,0,0,0,0,0,0,0,0,1
291,31,5,0,0,0,0,0,0,0,0,1
292,31,2,0,0,0,0,1,0,0,0,0
293,31,2,0,0,0,0,0,1,0,0,0
294,31,6,0,1,0,0,0,0,0,0,0
295,31,2,0,0,0,0,0,1,0,0,0
296,31,6,0,1,0,0,0,0,0,0,0
297,31,2,0,0,0,0,0,1,0,0,0
298,31,6,0,1,0,0,0,0,0,0,0
299,31,2,0,0,0,0,0,1,0,0,0
300,31,6,0,1,0,0,0,0,0,0,0
301,31,2,0,0,0,0,0,1,0,0,0
302,31,6,0,1,0,0,0,0,0,0,0
303,31,6,0,1,0,0,0,0,0,0,0
304,31,2,0,0,0,0,0,1,0,0,0
305,31,6,0,1,0,0,0,0,0,0,0
306,31,2,0,0,0,0,0,1,0,0,0
307,31,6,0,1,0,0,0,0,0,0,0
308,31,2,0,0,0,0,0,1,0,0,0
309,31,6,0,1,0,0,0,0,0,0,0
310,31,5,0,1,0,0,0,0,0,0,0
311,31,5,0,1,0,0,0,0,0,0,0
312,31,5,0,0,0,0,0,1,0,0,0
313,31,6,0,0,0,0,1,0,0,0,0
314,31,5,0,1,0,0,0,0,0,0,0
315,31,8,0,1,0,0,0,0,0,0,0
316,31,2,0,0,0,0,0,0,0,1,0
317,31,8,0,1,0,0,0,0,0,0,0
318,31,5,0,1,0,0,0,0,0,0,0
319,31,5,0,1,0,0,0,0,0,0,0
320,32,3,0,1,0,0,0,0,0,0,0
321,32,2,0,0,1,0,0,0,0,0,0
322,33,2,1,0,1,0,0,0,0,0,0
