eventID,sceneID,speakerID,N'Jobu (1),Zuri (2),T'Chaka (3),Okoye (4),T'Challa (5),Nakia (6),Ramonda (7),Shuri (8),Ayo (9),Erik Killmonger (10),Ulysses Klaue (11),M'Baku (12),W'Kabi (13),Sophia (14),Everett Ross (15),Linda (16),Bucky Barnes (17)
1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
30,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
34,3,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35,3,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
36,3,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
37,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
38,3,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
39,3,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
40,4,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
41,4,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
42,5,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
43,5,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44,5,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
45,5,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
46,5,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
47,5,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
48,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
49,5,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50,5,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
51,5,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
52,5,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
53,5,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
