event,scene,SpeakerID,Claire (1),Brian (2),Andrew (3),Bender (4),Vernon (5),Allison (6),Carl (7)
727,33,1,0,1,0,0,0,0,0
728,33,3,0,1,0,0,0,0,0
729,33,2,1,0,0,0,0,0,0
730,33,1,0,1,0,0,0,0,0
731,33,1,0,0,0,0,0,1,0
732,33,6,1,0,0,0,0,0,0
733,33,1,0,0,0,0,0,1,0
734,33,1,0,0,0,0,0,1,0
735,33,6,1,0,0,0,0,0,0
736,33,1,0,0,0,0,0,1,0
737,33,1,0,0,0,0,0,1,0
738,33,6,1,0,0,0,0,0,0
739,33,1,0,0,0,0,0,1,0
740,33,6,1,0,0,0,0,0,0
741,33,1,0,0,0,0,0,1,0
742,34,4,1,0,0,0,0,0,0
743,35,2,0,0,0,0,0,1,0
744,35,6,0,1,0,0,0,0,0
745,36,4,1,0,0,0,0,0,0
746,36,1,0,0,0,1,0,0,0
747,36,4,1,0,0,0,0,0,0
748,36,1,0,0,0,1,0,0,0
749,36,4,1,0,0,0,0,0,0
750,36,1,0,0,0,1,0,0,0
751,36,4,1,0,0,0,0,0,0
752,37,3,0,0,0,0,0,1,0
753,37,6,0,0,1,0,0,0,0
754,37,3,0,0,0,0,0,1,0
755,37,6,0,0,1,0,0,0,0
756,37,3,0,0,0,0,0,1,0
757,38,7,0,1,0,0,0,0,0
758,38,2,0,0,0,0,0,0,1
759,38,4,0,0,0,0,0,0,1
760,38,7,0,0,0,1,0,0,0
