"char_ID","char_name","char_female"
1,"Bryce",0
2,"Lara Croft",1
3,"Hillary",0
4,"Mr. Pimms",0
5,"Manfred Powell",0
6,"Lord Richard Croft",0
7,"Wilson",0
8,"Alex West",0
9,"Julius",0
