"char_ID","char_name","char_female"
1,"Karpov",0
2,"Bucky Barnes",0
3,"Steve Rogers",0
4,"Wanda Maximoff",1
5,"Natasha Romanoff",1
6,"Sam Wilson",0
7,"Brock Rumlow",0
8,"Maria Stark",1
9,"Howard Stark",0
10,"Tony Stark",0
11,"Miriam Spencer",1
12,"Vision",0
13,"Thaddeus Ross",0
14,"James Rhodes",0
15,"Helmut Zemo",0
16,"Sharon Carter",1
17,"T'Challa",0
18,"T'Chaka",0
19,"Everett Ross",0
20,"Peter Parker",0
21,"May Parker",1
22,"Clint Barton",0
23,"Scott Lang",0
24,"FRIDAY",1
