"char_ID","char_name","char_female"
1,"Surtur",0
2,"Thor",0
3,"Skurge",0
4,"Loki",0
5,"Stephen Strange",0
6,"Odin",0
7,"Hela",1
8,"Volstagg",0
9,"Valkyrie",1
10,"Hogun",0
11,"Grandmaster",0
12,"Topaz",1
13,"Cousin Carlo",0
14,"Korg",0
15,"Bruce Banner",0
16,"Heimdall",0
