"char_ID","char_name","char_female"
1,"Meredith Quill",1
2,"Peter Quill",0
3,"Korath",0
4,"Bereet",1
5,"Yondu Udonta",0
6,"Kraglin",0
7,"Horuz",0
8,"Ronan",0
9,"Nebula",1
10,"Gamora",1
11,"Rocket Raccoon",0
12,"Groot",0
13,"The Broker",0
14,"Corpsman Dey",0
15,"Nova Prime",1
16,"Denarian Saal",0
17,"Moloka Dar",0
18,"Drax",0
19,"The Other",0
20,"Thanos",0
21,"The Collector",0
22,"Carina",1
23,"Howard the Duck",0
